user_id,group_size,age_group,thrill_preference,visit_duration_hours,budget_level
USR_00100,5,kids,0.27,8.4,high
USR_00101,5,adults,0.53,8.5,high
USR_00102,1,mixed,0.72,2.0,medium
USR_00103,1,mixed,0.69,6.1,high
USR_00104,1,mixed,0.44,3.4,high
USR_00105,1,adults,0.63,3.7,high
USR_00106,4,kids,0.34,5.9,high
USR_00107,3,mixed,0.55,5.5,low
USR_00108,3,adults,0.41,4.7,medium
USR_00109,1,adults,0.88,3.4,low
USR_00110,3,adults,0.74,4.5,low
USR_00111,3,mixed,0.57,5.8,high
USR_00112,1,adults,0.75,2.2,medium
USR_00113,3,kids,0.23,7.1,medium
USR_00114,5,kids,0.27,5.7,high
USR_00115,2,adults,0.93,5.6,high
USR_00116,2,adults,0.9,5.6,high
USR_00117,1,adults,0.61,4.2,low
USR_00118,4,kids,0.52,6.9,low
USR_00119,1,adults,0.69,3.1,medium
USR_00120,4,adults,0.98,5.8,low
USR_00121,2,adults,0.97,5.7,low
USR_00122,1,adults,0.99,3.2,medium
USR_00123,6,kids,0.56,6.0,medium
USR_00124,5,kids,0.33,6.0,medium
USR_00125,3,mixed,0.73,3.3,medium
USR_00126,4,mixed,0.78,6.1,medium
USR_00127,6,mixed,0.54,8.1,low
USR_00128,3,kids,0.48,4.3,low
USR_00129,3,mixed,0.51,3.0,medium
USR_00130,1,adults,0.45,4.5,medium
USR_00131,3,kids,0.52,2.8,medium
USR_00132,5,kids,0.44,4.1,low
USR_00133,6,kids,0.53,8.1,high
USR_00134,3,kids,0.5,5.2,medium
USR_00135,1,adults,0.76,3.8,medium
USR_00136,5,adults,0.62,6.4,medium
USR_00137,2,adults,0.62,7.2,high
USR_00138,6,kids,0.26,7.4,medium
USR_00139,3,kids,0.15,6.1,medium
USR_00140,1,adults,0.85,5.2,high
USR_00141,2,adults,0.4,2.5,medium
USR_00142,2,mixed,0.33,3.9,medium
USR_00143,4,adults,0.84,8.2,medium
USR_00144,5,kids,0.58,5.9,medium
USR_00145,3,kids,0.27,3.6,low
USR_00146,1,adults,0.76,3.5,medium
USR_00147,4,mixed,0.33,6.1,high
USR_00148,5,kids,0.32,6.5,high
USR_00149,4,kids,0.29,5.1,medium
USR_00150,6,kids,0.47,9.0,medium
USR_00151,5,mixed,0.79,5.8,low
USR_00152,5,kids,0.48,5.9,high
USR_00153,3,kids,0.21,4.1,high
USR_00154,5,mixed,0.59,9.1,medium
USR_00155,4,mixed,0.56,6.4,high
USR_00156,5,mixed,0.5,7.0,medium
USR_00157,3,kids,0.52,4.0,medium
USR_00158,3,mixed,0.39,4.8,low
USR_00159,6,mixed,0.33,9.1,medium
USR_00160,4,kids,0.4,4.9,medium
USR_00161,2,adults,0.8,4.7,medium
USR_00162,2,adults,0.44,2.4,medium
USR_00163,5,adults,0.92,9.9,high
USR_00164,6,kids,0.52,7.1,low
USR_00165,1,adults,0.54,2.8,medium
USR_00166,5,kids,0.16,6.1,medium
USR_00167,6,adults,0.68,6.7,medium
USR_00168,4,kids,0.24,5.1,medium
USR_00169,4,adults,0.48,2.3,low
USR_00170,4,adults,0.88,5.1,low
USR_00171,4,kids,0.28,5.5,medium
USR_00172,4,mixed,0.4,6.3,medium
USR_00173,6,adults,0.62,6.2,low
USR_00174,6,kids,0.39,6.4,medium
USR_00175,3,kids,0.36,4.9,medium
USR_00176,2,adults,0.47,2.2,medium
USR_00177,4,kids,0.22,6.9,high
USR_00178,1,adults,0.55,2.0,low
USR_00179,6,kids,0.18,8.1,low
USR_00180,1,adults,0.91,4.1,medium
USR_00181,1,adults,0.66,2.2,medium
USR_00182,1,adults,0.66,4.1,medium
USR_00183,3,mixed,0.49,6.0,high
USR_00184,6,mixed,0.73,7.1,high
USR_00185,1,adults,0.74,2.0,high
USR_00186,4,mixed,0.34,6.1,medium
USR_00187,5,mixed,0.52,5.5,medium
USR_00188,1,kids,0.53,4.6,medium
USR_00189,3,kids,0.45,4.4,low
USR_00190,6,kids,0.1,6.5,medium
USR_00191,3,adults,0.93,6.6,low
USR_00192,1,kids,0.15,5.0,high
USR_00193,6,mixed,0.44,2.9,medium
USR_00194,5,mixed,0.44,5.9,medium
USR_00195,1,adults,0.51,2.0,medium
USR_00196,3,mixed,0.48,3.4,low
USR_00197,2,adults,0.86,3.4,low
USR_00198,4,kids,0.32,6.1,medium
USR_00199,3,mixed,0.68,4.7,low
USR_00200,6,kids,0.18,8.6,medium
USR_00201,1,adults,0.71,5.1,high
USR_00202,4,adults,0.79,7.4,high
USR_00203,1,adults,0.71,3.5,medium
USR_00204,6,adults,0.93,8.3,low
USR_00205,1,kids,0.56,3.9,high
USR_00206,2,adults,0.47,4.8,high
USR_00207,4,kids,0.29,2.9,low
USR_00208,4,kids,0.45,7.0,medium
USR_00209,6,kids,0.21,6.7,low
USR_00210,2,adults,0.62,8.6,high
USR_00211,3,kids,0.18,5.4,high
USR_00212,1,kids,0.13,2.9,low
USR_00213,5,kids,0.16,8.2,high
USR_00214,1,mixed,0.4,2.0,medium
USR_00215,1,adults,0.73,4.7,high
USR_00216,3,mixed,0.65,4.9,medium
USR_00217,1,kids,0.27,3.9,high
USR_00218,2,adults,0.65,5.0,low
USR_00219,2,adults,0.73,3.0,medium
USR_00220,4,mixed,0.48,5.5,low
USR_00221,6,mixed,0.55,10.0,high
USR_00222,5,mixed,0.41,6.7,high
USR_00223,1,adults,0.89,3.9,high
USR_00224,1,adults,0.63,7.1,high
USR_00225,3,adults,0.83,5.0,low
USR_00226,6,adults,0.64,6.7,medium
USR_00227,2,adults,0.54,4.6,low
USR_00228,5,mixed,0.75,5.3,low
USR_00229,4,kids,0.31,3.3,low
USR_00230,2,adults,0.6,5.7,medium
USR_00231,6,kids,0.16,5.5,low
USR_00232,4,kids,0.53,8.1,low
USR_00233,3,mixed,0.35,3.8,low
USR_00234,3,kids,0.53,7.0,low
USR_00235,1,adults,0.54,2.7,high
USR_00236,6,mixed,0.51,8.5,medium
USR_00237,5,mixed,0.46,8.1,high
USR_00238,4,mixed,0.62,6.7,medium
USR_00239,2,kids,0.56,4.8,low
USR_00240,6,kids,0.3,6.7,medium
USR_00241,6,mixed,0.42,5.7,medium
USR_00242,3,mixed,0.76,4.3,low
USR_00243,1,adults,0.83,3.1,low
USR_00244,1,adults,0.71,2.2,low
USR_00245,4,kids,0.29,5.5,low
USR_00246,3,mixed,0.8,5.3,medium
USR_00247,6,kids,0.52,6.2,medium
USR_00248,5,mixed,0.62,6.5,low
USR_00249,3,mixed,0.73,4.1,low
USR_00250,4,mixed,0.64,5.9,high
USR_00251,4,mixed,0.48,6.1,low
USR_00252,3,mixed,0.78,4.0,medium
USR_00253,4,kids,0.21,6.2,high
USR_00254,3,mixed,0.52,4.5,low
USR_00255,2,mixed,0.59,5.2,low
USR_00256,3,kids,0.38,5.1,medium
USR_00257,3,kids,0.53,5.5,medium
USR_00258,4,kids,0.15,5.3,medium
USR_00259,4,adults,0.93,6.6,high
USR_00260,1,adults,0.91,2.7,low
USR_00261,1,adults,0.7,3.7,medium
USR_00262,2,adults,0.69,3.7,medium
USR_00263,1,adults,0.62,4.4,low
USR_00264,3,mixed,0.63,4.5,medium
USR_00265,4,kids,0.19,3.2,low
USR_00266,1,adults,0.75,6.6,medium
USR_00267,1,mixed,0.5,2.4,low
USR_00268,2,mixed,0.49,5.7,medium
USR_00269,6,kids,0.13,9.0,medium
USR_00270,2,mixed,0.73,6.2,high
USR_00271,3,mixed,0.49,4.2,low
USR_00272,4,mixed,0.76,6.0,medium
USR_00273,2,adults,0.48,2.6,medium
USR_00274,1,adults,0.93,5.7,medium
USR_00275,4,adults,0.85,4.7,medium
USR_00276,4,mixed,0.5,5.4,medium
USR_00277,1,adults,0.79,3.4,medium
USR_00278,2,adults,0.7,5.0,high
USR_00279,1,adults,0.49,2.5,medium
USR_00280,6,kids,0.11,9.0,medium
USR_00281,4,kids,0.57,7.8,high
USR_00282,5,kids,0.36,7.9,high
USR_00283,5,mixed,0.77,7.0,high
USR_00284,3,kids,0.49,6.2,medium
USR_00285,1,adults,0.82,2.2,low
USR_00286,1,adults,0.68,5.2,medium
USR_00287,3,kids,0.58,5.0,medium
USR_00288,3,kids,0.44,6.4,medium
USR_00289,3,kids,0.18,4.8,medium
USR_00290,4,mixed,0.8,6.8,high
USR_00291,6,mixed,0.68,8.8,medium
USR_00292,1,adults,0.9,6.9,high
USR_00293,4,kids,0.25,7.6,medium
USR_00294,3,kids,0.11,6.0,medium
USR_00295,1,mixed,0.55,4.0,medium
USR_00296,4,mixed,0.77,5.1,medium
USR_00297,6,mixed,0.75,7.2,low
USR_00298,4,mixed,0.47,4.1,low
USR_00299,6,mixed,0.57,8.8,high
USR_00300,3,kids,0.31,4.9,low
USR_00301,6,kids,0.56,4.9,medium
USR_00302,1,kids,0.54,3.3,medium
USR_00303,3,mixed,0.55,5.4,medium
USR_00304,1,adults,0.96,3.2,medium
USR_00305,5,mixed,0.3,6.4,low
USR_00306,2,adults,0.41,2.5,medium
USR_00307,6,mixed,0.4,6.4,medium
USR_00308,2,adults,0.57,5.3,medium
USR_00309,2,adults,0.6,3.6,low
USR_00310,6,mixed,0.45,7.7,medium
USR_00311,3,mixed,0.44,3.7,low
USR_00312,5,kids,0.35,6.0,low
USR_00313,1,adults,0.6,2.0,low
USR_00314,4,kids,0.17,6.2,low
USR_00315,1,adults,0.9,6.5,high
USR_00316,4,kids,0.44,3.9,low
USR_00317,1,adults,0.96,3.2,high
USR_00318,6,mixed,0.52,8.8,high
USR_00319,5,kids,0.38,8.3,medium
USR_00320,4,adults,0.52,5.2,low
USR_00321,3,adults,0.76,3.4,medium
USR_00322,1,adults,0.64,3.0,medium
USR_00323,1,adults,0.86,2.1,medium
USR_00324,4,adults,0.76,4.4,low
USR_00325,3,adults,0.7,4.5,medium
USR_00326,3,kids,0.31,4.8,high
USR_00327,6,kids,0.11,6.4,medium
USR_00328,6,kids,0.12,6.9,low
USR_00329,6,adults,0.76,7.6,medium
USR_00330,6,kids,0.25,5.1,low
USR_00331,6,mixed,0.48,7.3,low
USR_00332,6,mixed,0.34,7.8,high
USR_00333,5,kids,0.33,6.9,low
USR_00334,3,mixed,0.64,5.3,low
USR_00335,6,kids,0.35,6.1,low
USR_00336,3,mixed,0.78,6.6,high
USR_00337,3,kids,0.55,3.9,medium
USR_00338,2,adults,0.84,5.7,medium
USR_00339,5,mixed,0.57,5.5,medium
USR_00340,6,kids,0.16,7.2,low
USR_00341,1,adults,0.85,3.1,medium
USR_00342,4,kids,0.43,4.5,medium
USR_00343,1,adults,0.58,3.9,low
USR_00344,5,mixed,0.48,5.8,medium
USR_00345,4,mixed,0.79,4.7,high
USR_00346,5,kids,0.32,2.5,low
USR_00347,3,mixed,0.42,3.3,low
USR_00348,4,mixed,0.4,6.9,low
USR_00349,3,mixed,0.37,5.9,low
USR_00350,1,adults,0.88,3.4,high
USR_00351,1,adults,0.69,2.9,medium
USR_00352,4,kids,0.38,5.1,medium
USR_00353,4,mixed,0.79,4.1,medium
USR_00354,6,kids,0.41,5.7,low
USR_00355,5,kids,0.46,7.7,medium
USR_00356,6,kids,0.42,7.9,medium
USR_00357,5,mixed,0.54,6.8,medium
USR_00358,6,kids,0.44,6.7,high
USR_00359,3,kids,0.32,5.0,medium
USR_00360,4,kids,0.22,2.9,medium
USR_00361,1,adults,0.97,5.3,high
USR_00362,5,mixed,0.59,6.3,low
USR_00363,5,kids,0.4,4.4,low
USR_00364,1,adults,0.77,4.7,low
USR_00365,6,mixed,0.42,5.1,medium
USR_00366,5,kids,0.3,7.1,medium
USR_00367,3,kids,0.2,5.6,medium
USR_00368,4,mixed,0.56,5.2,high
USR_00369,1,adults,0.51,3.3,medium
USR_00370,4,kids,0.22,3.7,medium
USR_00371,5,kids,0.4,2.6,low
USR_00372,5,kids,0.44,4.7,low
USR_00373,1,adults,0.47,2.6,medium
USR_00374,3,mixed,0.73,5.7,medium
USR_00375,2,mixed,0.56,5.2,high
USR_00376,1,adults,1.0,2.9,low
USR_00377,2,adults,0.99,2.4,low
USR_00378,6,mixed,0.63,6.7,medium
USR_00379,2,kids,0.18,2.5,low
USR_00380,3,kids,0.11,2.9,low
USR_00381,6,kids,0.14,6.6,medium
USR_00382,2,adults,0.91,3.7,low
USR_00383,6,kids,0.59,6.6,medium
USR_00384,2,adults,0.7,3.2,low
USR_00385,3,kids,0.29,5.2,low
USR_00386,2,mixed,0.54,3.5,medium
USR_00387,2,adults,0.81,3.5,high
USR_00388,2,adults,0.88,4.8,medium
USR_00389,1,adults,0.51,3.6,medium
USR_00390,1,mixed,0.8,3.2,low
USR_00391,1,adults,0.77,4.1,medium
USR_00392,3,mixed,0.47,4.9,low
USR_00393,6,kids,0.49,7.3,medium
USR_00394,5,mixed,0.44,9.4,medium
USR_00395,2,adults,0.83,3.6,high
USR_00396,2,adults,0.49,3.4,medium
USR_00397,3,kids,0.25,5.6,low
USR_00398,2,adults,0.61,3.8,low
USR_00399,1,adults,0.73,5.2,high
USR_00400,5,mixed,0.4,6.7,medium
USR_00401,4,kids,0.48,7.3,medium
USR_00402,2,adults,0.71,2.4,low
USR_00403,1,adults,0.68,4.9,medium
USR_00404,4,mixed,0.55,6.6,low
USR_00405,5,adults,0.92,6.0,high
USR_00406,4,mixed,0.67,6.5,medium
USR_00407,1,adults,0.56,4.2,high
USR_00408,6,mixed,0.4,6.1,low
USR_00409,6,adults,0.62,5.0,medium
USR_00410,4,mixed,0.45,4.5,medium
USR_00411,3,kids,0.47,5.7,medium
USR_00412,4,kids,0.35,7.7,high
USR_00413,2,adults,0.43,4.8,high
USR_00414,2,adults,0.63,6.1,high
USR_00415,6,mixed,0.37,8.4,medium
USR_00416,3,mixed,0.79,4.6,low
USR_00417,1,adults,0.98,2.0,low
USR_00418,2,mixed,0.41,5.6,high
USR_00419,6,mixed,0.52,7.4,low
USR_00420,5,kids,0.18,7.3,medium
USR_00421,6,mixed,0.54,8.3,medium
USR_00422,2,adults,0.89,2.5,medium
USR_00423,2,mixed,0.65,4.5,high
USR_00424,6,mixed,0.78,5.0,medium
USR_00425,1,adults,0.72,4.2,medium
USR_00426,4,mixed,0.41,4.9,low
USR_00427,2,mixed,0.45,4.6,medium
USR_00428,6,kids,0.14,5.0,low
USR_00429,6,kids,0.33,9.0,medium
USR_00430,3,mixed,0.39,4.5,high
USR_00431,4,kids,0.21,7.6,high
USR_00432,5,kids,0.21,6.1,low
USR_00433,1,mixed,0.46,3.1,medium
USR_00434,5,mixed,0.58,7.2,high
USR_00435,4,kids,0.6,4.4,low
USR_00436,4,kids,0.5,6.8,low
USR_00437,4,kids,0.19,5.2,low
USR_00438,5,kids,0.21,5.0,medium
USR_00439,4,kids,0.27,4.7,low
USR_00440,6,mixed,0.46,8.5,high
USR_00441,5,kids,0.58,7.6,medium
USR_00442,4,kids,0.49,5.0,medium
USR_00443,6,kids,0.46,6.2,low
USR_00444,3,adults,0.93,4.9,medium
USR_00445,4,kids,0.55,6.7,medium
USR_00446,5,kids,0.51,4.9,medium
USR_00447,2,adults,0.95,4.7,medium
USR_00448,4,mixed,0.71,5.1,medium
USR_00449,2,adults,0.7,4.7,high
USR_00450,6,kids,0.14,10.0,high
USR_00451,3,kids,0.43,4.7,medium
USR_00452,1,adults,1.0,3.7,low
USR_00453,3,mixed,0.37,5.3,low
USR_00454,4,mixed,0.39,3.8,low
USR_00455,2,adults,0.4,2.0,medium
USR_00456,2,adults,0.62,5.1,medium
USR_00457,5,kids,0.47,5.2,medium
USR_00458,2,adults,0.85,3.1,high
USR_00459,5,mixed,0.72,8.7,high
USR_00460,6,kids,0.24,7.1,high
USR_00461,1,adults,0.58,2.4,medium
USR_00462,4,kids,0.22,8.1,medium
USR_00463,5,adults,0.86,4.0,low
USR_00464,1,mixed,0.37,2.0,low
USR_00465,2,adults,0.53,3.0,low
USR_00466,2,adults,0.57,3.8,medium
USR_00467,1,adults,0.75,2.2,medium
USR_00468,2,adults,0.8,3.7,high
USR_00469,6,kids,0.11,8.6,low
USR_00470,6,mixed,0.43,7.6,medium
USR_00471,1,adults,0.66,4.0,medium
USR_00472,5,mixed,0.42,5.8,low
USR_00473,5,kids,0.5,6.8,medium
USR_00474,1,mixed,0.64,3.9,low
USR_00475,5,mixed,0.73,5.3,medium
USR_00476,5,kids,0.4,6.8,medium
USR_00477,6,kids,0.48,7.6,low
USR_00478,5,kids,0.2,7.9,low
USR_00479,3,kids,0.38,7.2,medium
USR_00480,4,kids,0.51,6.8,high
USR_00481,2,adults,0.85,5.5,medium
USR_00482,3,kids,0.5,2.0,medium
USR_00483,5,adults,0.59,8.4,medium
USR_00484,6,kids,0.57,7.4,high
USR_00485,1,kids,0.3,4.0,high
USR_00486,5,kids,0.38,7.0,medium
USR_00487,6,mixed,0.53,7.1,medium
USR_00488,4,kids,0.45,6.9,high
USR_00489,5,kids,0.6,8.4,medium
USR_00490,1,mixed,0.42,2.8,medium
USR_00491,6,kids,0.28,5.5,low
USR_00492,6,mixed,0.66,10.0,high
USR_00493,6,mixed,0.42,8.9,high
USR_00494,4,kids,0.21,7.5,low
USR_00495,5,kids,0.45,7.5,medium
USR_00496,4,mixed,0.53,4.1,medium
USR_00497,2,adults,0.99,4.4,low
USR_00498,2,adults,0.66,3.9,high
USR_00499,5,mixed,0.38,6.0,low
USR_00500,4,kids,0.23,5.1,low
USR_00501,1,adults,0.84,2.0,medium
USR_00502,6,mixed,0.66,6.3,medium
USR_00503,6,kids,0.54,9.4,low
USR_00504,5,kids,0.53,6.8,medium
USR_00505,2,adults,0.82,3.9,medium
USR_00506,2,adults,0.93,5.8,low
USR_00507,6,kids,0.55,6.3,low
USR_00508,5,kids,0.5,6.4,medium
USR_00509,4,mixed,0.45,6.4,low
USR_00510,2,adults,0.9,4.6,high
USR_00511,4,kids,0.58,5.8,high
USR_00512,2,kids,0.34,2.4,high
USR_00513,2,adults,0.55,2.5,low
USR_00514,3,mixed,0.66,4.8,high
USR_00515,2,adults,0.99,4.3,medium
USR_00516,1,mixed,0.37,2.6,medium
USR_00517,5,kids,0.25,8.6,low
USR_00518,5,kids,0.16,4.7,low
USR_00519,4,kids,0.5,7.4,medium
USR_00520,2,adults,0.98,4.4,medium
USR_00521,1,mixed,0.55,3.8,low
USR_00522,4,kids,0.19,6.6,medium
USR_00523,3,mixed,0.39,2.0,low
USR_00524,4,mixed,0.77,5.7,medium
USR_00525,4,mixed,0.47,5.4,medium
USR_00526,2,adults,0.48,3.7,high
USR_00527,3,mixed,0.64,6.5,high
USR_00528,4,kids,0.16,7.8,medium
USR_00529,1,adults,0.97,2.0,medium
USR_00530,1,kids,0.22,2.7,medium
USR_00531,5,kids,0.59,6.0,high
USR_00532,3,kids,0.3,5.0,medium
USR_00533,3,mixed,0.32,4.0,low
USR_00534,5,kids,0.22,5.3,low
USR_00535,4,mixed,0.69,6.5,medium
USR_00536,3,kids,0.14,6.9,medium
USR_00537,1,adults,0.93,7.5,high
USR_00538,1,adults,0.79,2.0,low
USR_00539,2,adults,0.93,2.0,medium
USR_00540,3,kids,0.17,6.6,high
USR_00541,4,mixed,0.53,8.6,high
USR_00542,5,mixed,0.32,7.5,medium
USR_00543,5,adults,0.72,8.4,medium
USR_00544,4,kids,0.41,5.4,medium
USR_00545,6,mixed,0.45,7.6,high
USR_00546,2,adults,0.64,3.7,low
USR_00547,5,adults,0.97,7.1,high
USR_00548,3,kids,0.47,5.7,medium
USR_00549,2,adults,0.96,5.3,medium
USR_00550,3,mixed,0.34,5.7,low
USR_00551,1,adults,0.93,3.9,medium
USR_00552,2,mixed,0.71,4.4,medium
USR_00553,5,kids,0.31,7.0,low
USR_00554,2,mixed,0.45,2.0,medium
USR_00555,2,kids,0.45,5.4,high
USR_00556,2,adults,0.78,4.2,medium
USR_00557,6,kids,0.37,7.6,medium
USR_00558,2,adults,0.81,3.5,low
USR_00559,3,adults,0.99,5.4,medium
USR_00560,1,adults,0.43,2.1,low
USR_00561,4,kids,0.59,7.1,medium
USR_00562,2,adults,0.67,5.7,high
USR_00563,5,kids,0.24,6.7,medium
USR_00564,2,adults,0.87,2.8,low
USR_00565,5,kids,0.14,7.5,medium
USR_00566,3,kids,0.54,5.1,medium
USR_00567,5,mixed,0.39,5.6,medium
USR_00568,4,mixed,0.41,6.6,high
USR_00569,1,adults,0.56,5.1,high
USR_00570,5,mixed,0.66,7.2,medium
USR_00571,5,mixed,0.62,7.1,medium
USR_00572,1,adults,0.49,2.9,low
USR_00573,4,kids,0.46,6.4,low
USR_00574,2,adults,0.51,5.6,medium
USR_00575,5,kids,0.5,7.4,medium
USR_00576,1,adults,0.88,2.6,medium
USR_00577,3,mixed,0.35,3.6,medium
USR_00578,1,adults,0.66,2.1,low
USR_00579,3,adults,0.41,7.2,medium
USR_00580,4,kids,0.25,5.5,low
USR_00581,2,adults,0.82,6.2,low
USR_00582,1,adults,0.45,4.2,high
USR_00583,6,adults,0.93,6.5,low
USR_00584,5,kids,0.13,6.4,medium
USR_00585,4,kids,0.36,5.1,low
USR_00586,1,adults,0.99,3.4,high
USR_00587,5,kids,0.44,5.1,medium
USR_00588,1,adults,0.45,3.4,low
USR_00589,3,mixed,0.61,6.2,medium
USR_00590,1,adults,0.65,6.2,medium
USR_00591,6,kids,0.43,7.8,high
USR_00592,1,adults,0.6,2.4,low
USR_00593,1,mixed,0.38,3.4,high
USR_00594,6,mixed,0.74,9.7,high
USR_00595,4,mixed,0.47,7.7,high
USR_00596,1,adults,0.84,2.2,medium
USR_00597,6,kids,0.2,6.2,medium
USR_00598,5,kids,0.44,7.6,medium
USR_00599,3,kids,0.48,5.4,medium
USR_00600,3,mixed,0.52,5.8,medium
USR_00601,1,kids,0.25,2.2,medium
USR_00602,4,kids,0.57,3.4,medium
USR_00603,4,kids,0.38,4.7,medium
USR_00604,5,kids,0.45,8.3,high
USR_00605,1,adults,0.79,5.3,low
USR_00606,3,mixed,0.63,5.4,high
USR_00607,4,kids,0.58,8.4,medium
USR_00608,1,kids,0.16,5.3,high
USR_00609,4,kids,0.23,4.0,medium
USR_00610,6,adults,0.69,7.6,medium
USR_00611,4,mixed,0.36,7.7,high
USR_00612,3,mixed,0.33,2.0,low
USR_00613,2,adults,0.41,5.9,high
USR_00614,5,mixed,0.37,7.9,medium
USR_00615,5,mixed,0.56,7.0,medium
USR_00616,3,mixed,0.56,4.8,medium
USR_00617,4,mixed,0.59,5.5,medium
USR_00618,1,kids,0.22,3.0,medium
USR_00619,4,mixed,0.79,3.8,low
USR_00620,3,mixed,0.74,3.6,low
USR_00621,5,mixed,0.36,5.5,low
USR_00622,4,kids,0.54,6.8,high
USR_00623,5,kids,0.34,6.8,high
USR_00624,1,adults,0.69,2.3,medium
USR_00625,5,mixed,0.57,7.4,medium
USR_00626,5,mixed,0.58,6.9,medium
USR_00627,2,adults,0.7,3.5,medium
USR_00628,2,adults,1.0,5.7,high
USR_00629,6,mixed,0.67,7.8,high
USR_00630,2,adults,0.44,4.2,medium
USR_00631,5,mixed,0.5,7.7,medium
USR_00632,3,mixed,0.75,3.7,low
USR_00633,5,kids,0.38,6.1,high
USR_00634,3,mixed,0.47,4.2,low
USR_00635,3,mixed,0.43,3.3,medium
USR_00636,2,adults,0.7,3.8,medium
USR_00637,4,kids,0.52,5.4,medium
USR_00638,1,kids,0.4,2.0,low
USR_00639,2,adults,0.65,5.7,high
